Event,Category,Aspect,Measurement,Max. Score,Actual Score,
WorldSkills Lyon 2024 GameDay (Day2),Operation Excellence,Whether ECR image Tag is imutable,Ensure consistency and traceability by preventing changes to critical resource metadata Requirement: Yes/No,0.5,,
WorldSkills Lyon 2024 GameDay (Day2),Operation Excellence,Does Guardduty has tag,"Enhances organization and visibility, facilitating easier management and prioritization of alerts Requirement: Yes/No",0.5,,
WorldSkills Lyon 2024 GameDay (Day2),Operation Excellence,Is ECR endpoint configured,"Ensuring efficient, secure, and reliable access to container images. Requirement: Yes/No",0.5,,
WorldSkills Lyon 2024 GameDay (Day2),Operation Excellence,Is DynamoDB endpoint configured,"Improves operational excellence by ensuring high availability, scalability, and optimized access to database resources. Requirement: Yes/No",0.5,,
WorldSkills Lyon 2024 GameDay (Day2),Operation Excellence,Is S3 endpoint configured,"Ensuring efficient, secure, and reliable access to storage resources. Requirement: Yes/No",0.5,,
WorldSkills Lyon 2024 GameDay (Day2),Operation Excellence,CodePipeline is created and used successfully,Automation of application deployment with CodePipeline Requirement: Yes/No,0.5,,
WorldSkills Lyon 2024 GameDay (Day2),Operation Excellence,CodeBuild is created and used successfully,Automation of application deployment with CodeBuild Requirement: Yes/No,0.5,,
WorldSkills Lyon 2024 GameDay (Day2),Operation Excellence,Is DynamoDB used?,DynamoDB Table is created Requirement: Yes/No,0.5,,
WorldSkills Lyon 2024 GameDay (Day2),Operation Excellence,CodeDeploy is created and used successfully,Automation of application deployment with CodeDeploy Requirement: Yes/No,0.5,,
WorldSkills Lyon 2024 GameDay (Day2),Operation Excellence,Is ALB log enabled,"Providing valuable insights into traffic patterns, helping to optimize application performance Requirement: Yes/No",1.0,,
WorldSkills Lyon 2024 GameDay (Day2),Operation Excellence,Whether Kinesis Analysis has tag,"Enabling cost allocation, resource management, and compliance tracking across operational workflows Requirement: Yes/No",1.0,,
WorldSkills Lyon 2024 GameDay (Day3),Operation Excellence,Challenge1,"Completed with 0 clues, full (2 marks) deduct 0.5 for each addtional clue used.",2.0,,
WorldSkills Lyon 2024 GameDay (Day3),Operation Excellence,Challenge2,"Completed with 0 clues, full (2 marks) deduct 0.5 for each addtional clue used.",2.0,,
WorldSkills Lyon 2024 GameDay (Day3),Operation Excellence,Challenge3,"Completed with 0 clues, full (2 marks) deduct 0.5 for each addtional clue used.",2.0,,
WorldSkills Lyon 2024 GameDay (Day3),Operation Excellence,Challenge4,"Completed with 0 clues, full (2 marks) deduct 0.5 for each addtional clue used.",2.0,,
WorldSkills Lyon 2024 GameDay (Day1),Security,Is the DynamoDB table encrypted,Enhance the security of Dynamodb data transfer Requirement: Yes/No,1.0,,
WorldSkills Lyon 2024 GameDay (Day1),Security,Is S3 Encryption enabled,Provides a foundation for secure data storage and management in the cloud Requirement: Yes/No,1.0,,
WorldSkills Lyon 2024 GameDay (Day1),Security,Is WAF configured,Enhances security by protecting your applications from common web exploits and vulnerabilities Requirement: Yes/No,2.0,,
WorldSkills Lyon 2024 GameDay (Day1),Security,Are ECR Resource Policies Being Used,Secure access to your container images Requirement: Yes/No,1.0,,
WorldSkills Lyon 2024 GameDay (Day1),Security,Is RDS Deletion Protection enabled,"Prevents accidental deletion of the database, ensuring operational continuity Requirement: Yes/No",1.0,,
WorldSkills Lyon 2024 GameDay (Day1),Security,Does Codepipeline have approval stage,Enhances control and security by allowing manual verification and approval before progressing Requirement: Yes/No,0.5,,
WorldSkills Lyon 2024 GameDay (Day1),Security,Is DynamoDB deletion protection is enabled,"Prevents accidental deletion of tables, ensuring data safety and continuity. Requirement: Yes/No",0.5,,
WorldSkills Lyon 2024 GameDay (Day2),Security,No inbound rule allow traffic from SSH port in Security Group,Enhances network security by reducing exposure to potential unauthorized access Requirement: Yes/No,1.0,,
WorldSkills Lyon 2024 GameDay (Day2),Security,No inbound rule of Security Group allow traffic from 0.0.0.0/0,Enhances network security by reducing exposure to potential unauthorized access Requirement: Yes/No,1.0,,
WorldSkills Lyon 2024 GameDay (Day2),Security,Is S3 encrytion enabled,Enhances data security by protecting stored objects from unauthorized access or breaches Requirement: Yes/No,1.0,,
WorldSkills Lyon 2024 GameDay (Day2),Security,Is GuardDuty enabled,Enhances AWS security by continuously monitoring for malicious activity Requirement: Yes/No,1.0,,
WorldSkills Lyon 2024 GameDay (Day2),Security,Is Kinesis Data Streams encryption enabled,"Ensures data confidentiality and integrity, safeguarding sensitive information transmitted Requirement: Yes/No",1.0,,
WorldSkills Lyon 2024 GameDay (Day2),Security,Is RDS Deletion Protection enabled,"Prevents accidental deletion of the database, ensuring operational continuity Requirement: Yes/No",1.0,,
WorldSkills Lyon 2024 GameDay (Day2),Security,Does Codepipeline have approval stage,Enhances control and security by allowing manual verification and approval before progressing Requirement: Yes/No,0.5,,
WorldSkills Lyon 2024 GameDay (Day2),Security,Is DynamoDB deletion protection is enabled,"Prevents accidental deletion of tables, ensuring data safety and continuity. Requirement: Yes/No",0.5,,
WorldSkills Lyon 2024 GameDay (Day3),Security,Challenge5,"Completed with 0 clues, full (2 marks) deduct 0.5 for each addtional clue used.",2.0,,
WorldSkills Lyon 2024 GameDay (Day3),Security,Challenge6,"Completed with 0 clues, full (2 marks) deduct 0.5 for each addtional clue used.",2.0,,
WorldSkills Lyon 2024 GameDay (Day3),Security,Challenge7,"Completed with 0 clues, full (2 marks) deduct 0.5 for each addtional clue used.",2.0,,
WorldSkills Lyon 2024 GameDay (Day3),Security,Complete task3 of Cloud Questing Challenge,Enhance security through advanced measures provided by cloud service providers Requirement: Yes/No,2.0,,
WorldSkills Lyon 2024 GameDay (Day1),Reliability,Is the DynamoDB table backed up,Ensures data recovery and protection against accidental deletions or corruption Requirement: Yes/No,1.0,,
WorldSkills Lyon 2024 GameDay (Day1),Reliability,Is VPC FlowLog enabled,Provides detailed visibility into network traffic Requirement: Yes/No,1.0,,
WorldSkills Lyon 2024 GameDay (Day1),Reliability,Is RDS config logs,Enhances reliability by enabling continuous monitoring and quick identification of database issues Requirement: Yes/No,1.0,,
WorldSkills Lyon 2024 GameDay (Day1),Reliability,Whether deletion protection is enabled for DynamoDB table,Prevents accidental loss of critical data Requirement: Yes/No,1.0,,
